v,m,t
[5.70857902e-05 1.63585939e-04 8.22179129e-04 2.12532782e-04],[-0.01413504 -0.02270487 -0.05001628  0.02495472],32
[5.87420761e-05 1.66967617e-04 8.37196480e-04 2.15914354e-04],[-0.0142139  -0.02267437 -0.04983535  0.02480593],33
[6.03890951e-05 1.70255970e-04 8.51674601e-04 2.19142916e-04],[-0.01428731 -0.0226336  -0.04963199  0.02464648],34
[6.20286147e-05 1.73457203e-04 8.65630586e-04 2.22219265e-04],[-0.01435638 -0.02258469 -0.04940933  0.024477  ],35
[6.36590617e-05 1.76570529e-04 8.79068626e-04 2.25149800e-04],[-0.01442099 -0.02252801 -0.04916886  0.02429926],36
[6.52808726e-05 1.79598606e-04 8.92001250e-04 2.27935255e-04],[-0.01448169 -0.02246468 -0.0489128   0.02411365],37
[6.68934782e-05 1.82539207e-04 9.04434604e-04 2.30581847e-04],[-0.01453865 -0.02239459 -0.04864249  0.02392173],38
[6.84993252e-05 1.85398355e-04 9.16381943e-04 2.33090739e-04],[-0.01459302 -0.02231951 -0.04835991  0.0237238 ],39
[7.00961520e-05 1.88174762e-04 9.27852226e-04 2.35465541e-04],[-0.01464429 -0.02223939 -0.0480664   0.02352069],40
[7.16837238e-05 1.90870996e-04 9.38853294e-04 2.37710748e-04],[-0.01469265 -0.02215507 -0.04776305  0.02331335],41
[7.32631522e-05 1.93487212e-04 9.49392912e-04 2.39828858e-04],[-0.01473873 -0.02206675 -0.04745084  0.02310221],42
[7.48338577e-05 1.96024519e-04 9.59482696e-04 2.41823278e-04],[-0.01478253 -0.02197483 -0.0471311   0.02288786],43
[7.63949260e-05 1.98486351e-04 9.69132096e-04 2.43695968e-04],[-0.01482395 -0.02188022 -0.04680482  0.02267053],44
[7.79467993e-05 2.00870958e-04 9.78345588e-04 2.45452974e-04],[-0.01486334 -0.02178253 -0.0464723   0.0224514 ],45
[7.94889018e-05 2.03179890e-04 9.87132462e-04 2.47097011e-04],[-0.01490068 -0.02168217 -0.0461344   0.02223075],46
[8.10216771e-05 2.05416963e-04 9.95507560e-04 2.48630306e-04],[-0.01493628 -0.02158008 -0.04579254  0.02200874],47
[8.25452264e-05 2.07582263e-04 1.00347127e-03 2.50055503e-04],[-0.01497032 -0.0214762  -0.04544635  0.02178562],48
[8.40582916e-05 2.09676793e-04 1.01103626e-03 2.51376506e-04],[-0.0150025  -0.02137073 -0.04509691  0.02156194],49
[8.55626822e-05 2.11701550e-04 1.01821030e-03 2.52595833e-04],[-0.01503359 -0.02126381 -0.04474467  0.02133786],50
